Year,Seasonal_Drought,Seasonal_Temp,Seasonal_Max,Jul Drought,Aug Drought,Sep Drought,Jul_ave_temp,Aug_ave_temp,Sep_ave_temp,Jul_Max_Temp,Aug_Max_Temp,Sep_Max_temp
1980,-0.4733333333333332,72.33333333333333,87.0,2.38,-0.16,-0.16,75.4,73.0,68.6,90.0,87.8,83.2
1981,0.9199999999999999,73.9,89.06666666666668,-2.49,-2.64,-2.64,75.5,75.8,70.4,91.2,91.4,84.6
1982,3.0733333333333337,71.36666666666666,84.99999999999999,3.09,3.07,3.07,73.1,73.9,67.1,87.3,88.1,79.6
1983,3.5033333333333325,72.2,85.8,5.82,6.45,6.45,71.9,73.7,71.0,86.4,86.8,84.2
1984,3.5433333333333334,74.7,88.89999999999999,0.16,0.5,0.5,77.0,74.9,72.2,91.2,89.0,86.5
1985,-1.0633333333333332,71.53333333333333,85.66666666666667,-3.18,-3.27,-3.27,77.2,73.0,64.4,91.8,88.4,76.8
1986,2.1566666666666667,70.8,84.76666666666667,-0.94,-1.09,-1.09,72.9,76.0,63.5,87.4,91.1,75.8
1987,0.09666666666666668,71.66666666666667,86.5,-3.44,-3.4,-3.4,70.9,74.3,69.8,85.2,89.5,84.8
1988,-3.9466666666666668,73.86666666666666,88.93333333333334,-1.54,-1.32,-1.32,77.6,74.6,69.4,92.7,89.4,84.7
1989,-5.133333333333333,71.83333333333333,86.59999999999998,-2.26,-2.08,-2.08,75.3,72.1,68.1,90.8,86.6,82.4
1990,3.27,73.33333333333334,87.53333333333335,-2.83,-2.54,-2.54,76.4,73.7,69.9,90.8,87.7,84.1
1991,1.7966666666666666,73.60000000000001,88.16666666666667,-1.43,-1.3,-1.3,75.4,73.2,72.2,90.1,87.4,87.0
1992,0.68,73.60000000000001,88.2,-2.99,-2.86,-2.86,73.8,76.2,70.8,87.7,91.2,85.7
1993,7.54,71.63333333333334,86.40000000000002,3.02,2.89,2.89,72.2,73.2,69.5,86.5,87.8,84.9
1994,2.6166666666666667,74.03333333333335,89.03333333333335,-2.22,-2.41,-2.41,76.5,75.8,69.8,91.5,91.3,84.3
1995,-0.52,73.46666666666665,88.33333333333333,6.26,5.71,5.71,74.2,75.0,71.2,88.8,90.3,85.9
1996,1.5566666666666666,74.4,89.33333333333333,2.88,2.16,2.16,78.1,76.7,68.4,93.0,92.2,82.8
1997,-0.39999999999999997,73.23333333333333,87.46666666666665,-3.08,-2.86,-2.86,74.0,74.9,70.8,88.8,89.3,84.3
1998,2.6033333333333335,74.13333333333333,88.56666666666666,7.17,6.6,6.6,76.0,77.2,69.2,90.7,92.7,82.3
1999,1.946666666666667,72.19999999999999,86.93333333333332,0.5,0.52,0.52,73.3,72.6,70.7,88.1,87.1,85.6
2000,0.5300000000000001,72.53333333333333,87.3,-0.8,-0.79,-0.79,73.5,75.0,69.1,88.5,89.8,83.6
2001,-0.43,73.8,88.76666666666665,-2.79,-2.89,-2.89,74.2,76.0,71.2,88.8,91.4,86.1
2002,0.09333333333333334,74.23333333333333,89.53333333333335,-3.07,-3.28,-3.28,77.4,74.4,70.9,92.6,90.0,86.0
2003,0.0633333333333334,75.53333333333333,90.33333333333333,-0.19,-0.01,-0.01,78.7,75.0,72.9,93.8,89.2,88.0
2004,1.5066666666666666,73.43333333333332,88.39999999999999,-3.26,-3.23,-3.23,76.1,74.8,69.4,91.0,89.7,84.5
2005,-0.26333333333333336,73.7,88.73333333333333,4.58,4.08,4.08,78.4,75.8,66.9,93.5,91.0,81.7
2006,-1.3233333333333335,74.2,89.39999999999999,-0.68,-1.1,-1.1,79.3,73.8,69.5,94.2,89.2,84.8
2007,2.06,73.5,88.13333333333333,-4.47,-4.42,-4.42,76.9,76.1,67.5,91.8,91.1,81.5
2008,5.933333333333334,74.96666666666665,90.10000000000001,-4.22,-4.2,-4.2,76.5,76.6,71.8,91.4,91.6,87.3
2009,4.103333333333333,75.13333333333333,90.53333333333335,-3.27,-3.28,-3.28,77.6,74.8,73.0,93.0,90.2,88.4
2010,6.213333333333334,73.3,88.53333333333335,1.94,1.53,1.53,76.1,73.4,70.4,91.0,88.6,86.0
2011,1.19,73.86666666666667,88.7,3.84,3.5,3.5,74.2,75.2,72.2,88.4,90.5,87.2
2012,-3.2566666666666664,75.2,90.23333333333333,-1.74,-1.58,-1.58,74.7,77.8,73.1,89.6,92.8,88.3
2013,0.39666666666666667,73.89999999999999,88.26666666666665,-3.51,-3.23,-3.23,78.0,74.4,69.3,92.7,89.0,83.1
2014,2.5566666666666666,75.16666666666667,89.3,-7.01,-6.35,-6.35,78.4,74.9,72.2,92.7,89.0,86.2
2015,3.1633333333333336,74.53333333333333,88.56666666666666,-4.85,-4.75,-4.75,75.0,76.5,72.1,88.5,91.0,86.2
2016,3.51,74.16666666666667,89.10000000000001,-2.3,-2.55,-2.55,76.8,76.2,69.5,91.9,91.2,84.2
2017,2.2333333333333334,75.5,89.63333333333333,-0.75,-0.98,-0.98,78.8,77.9,69.8,93.7,92.1,83.1
2018,1.9133333333333333,75.7,90.33333333333333,-2.41,-2.71,-2.71,79.6,76.4,71.1,94.0,91.0,86.0
2019,4.746666666666666,73.73333333333333,88.03333333333335,-0.09,-0.34,-0.34,75.5,76.8,68.9,90.0,91.5,82.6
