Year,Jun mean Temp,Jul mean Temp,Aug mean Temp,Jun Max Temp,Jul MaxTemp,Aug MaxTemp,Jun Drought Severity,Jul Drought Severity,Aug Drought Severity
1980,69.6,76.7,73.3,81.5,88.8,84.3,-1.15,-1.63,1.36
1981,70.2,73.3,69.6,82.0,83.0,80.1,0.30,0.88,1.58
1982,64.5,74.1,70.0,75.7,84.8,80.1,2.44,3.29,3.49
1983,69.6,77.2,78.1,80.5,88.8,90.4,4.60,3.61,2.30
1984,70.5,72.2,73.4,81.3,83.9,86.0,4.14,4.00,2.49
1985,66.5,72.7,67.9,78.6,84.9,78.9,-1.46,-1.75,0.02
1986,71.4,75.3,67.0,82.3,85.5,77.7,1.87,2.24,2.36
1987,73.0,76.3,69.9,85.0,87.2,80.0,-1.81,0.31,1.79
1988,73.8,75.5,75.8,87.9,88.4,88.5,-3.39,-4.18,-4.27
1989,67.7,75.0,71.2,79.3,86.2,82.4,-5.26,-5.17,-4.97
1990,70.3,72.3,71.7,80.6,82.0,81.8,2.58,3.59,3.64
1991,73.0,73.6,71.6,83.4,84.7,82.6,2.51,1.68,1.20
1992,67.4,68.3,65.7,79.8,77.6,76.6,-1.80,2.06,1.78
1993,66.9,71.9,71.6,77.0,80.3,80.9,5.50,7.96,9.16
1994,70.9,70.3,68.6,81.4,80.8,79.7,2.66,2.66,2.53
1995,69.9,73.9,76.2,80.0,85.0,86.3,-0.37,-0.42,-0.77
1996,69.5,70.5,70.0,79.6,81.2,80.5,1.67,1.51,1.49
1997,70.4,73.4,69.5,82.2,83.7,79.8,-0.13,-0.36,-0.71
1998,67.1,73.8,72.9,76.8,83.9,82.4,2.83,2.39,2.59
1999,68.9,76.8,70.0,78.7,87.3,80.6,2.80,3.10,-0.06
2000,67.7,72.2,72.7,78.7,81.8,83.0,0.88,1.11,-0.40
2001,68.3,75.1,72.5,78.9,85.4,83.5,-0.14,-0.37,-0.78
2002,72.4,76.5,70.9,83.3,87.4,81.6,-0.59,0.06,0.81
2003,67.3,73.1,74.1,78.4,84.0,86.4,0.55,0.77,-1.13
2004,67.0,70.5,66.2,77.4,80.5,77.1,1.13,1.46,1.93
2005,72.6,74.7,71.5,83.4,86.0,82.9,-0.07,-0.21,-0.51
2006,70.0,75.9,72.1,81.8,87.3,81.8,-2.08,-2.39,0.50
2007,70.4,73.7,74.2,81.6,85.1,83.9,1.60,1.27,3.31
2008,69.3,73.1,69.9,80.1,83.6,81.4,6.03,6.45,5.32
2009,68.9,68.0,68.3,79.2,78.3,78.6,3.63,3.98,4.70
2010,70.8,74.6,74.4,81.1,84.1,84.8,5.43,6.69,6.52
2011,69.6,78.0,72.0,79.3,87.7,83.1,4.37,-0.23,-0.57
2012,71.4,79.6,71.0,83.1,92.0,84.3,-2.26,-3.56,-3.95
2013,68.9,72.3,71.9,78.5,83.4,83.4,3.52,-0.68,-1.65
2014,70.2,68.8,71.2,80.2,79.2,80.3,2.39,2.27,3.01
2015,69.4,72.0,68.9,79.3,82.0,79.1,2.52,3.19,3.78
2016,73.0,72.8,72.0,84.8,82.6,81.9,2.85,3.50,4.18
2017,71.1,74.7,67.8,83.6,85.8,78.8,2.74,2.07,1.89
2018,73.1,73.1,71.8,83.1,83.8,82.3,1.73,1.53,2.48
2019,69.3,75.1,69.6,79.7,85.2,79.9,5.41,4.70,4.13
2020,72.9,75.3,71.9,83.7,85.9,84.2,2.91,2.26,0.86
