Year,Season_corn_yield,Season_soybean_Yield
1980,7.403,2.59105
1981,8.4125,2.692
1982,8.076,2.45645
1983,5.8551,2.3555
1984,7.5376,2.11995
1985,8.4798,2.5574
1986,9.0855,2.79295
1987,8.749,2.92755
1988,5.6532,2.0863
1989,7.9414,2.6247
1990,8.4798,2.79295
1991,7.8741,2.72565
1992,9.8931,2.9612
1993,5.384,2.0863
1994,10.2296,3.39865
1995,8.2779,2.9612
1996,9.2874,2.9612
1997,9.2874,3.0958
1998,9.7585,3.2304
1999,10.0277,2.99485
2000,9.6912,2.92755
2001,9.8258,2.9612
2002,10.9699,3.2304
2003,10.5661,2.18725
2004,12.1813,3.2977
2005,11.6429,3.53325
2006,11.1718,3.39865
2007,11.5083,3.4996
2008,11.5083,3.12945
2009,12.1813,3.4323
2010,11.1045,3.4323
2011,11.5756,3.46595
2012,9.2201,3.0285
2013,11.0372,3.06215
2014,11.9794,3.4323
2015,12.9216,3.80245
2016,13.6619,4.038
2017,13.5946,3.8361
2018,13.1908,3.7688
2019,13.3254,3.7015
2020,12.8543,3.6342
