Year,August Corn yield,August soybean yield 
1980,7.2684,2.4228
1981,8.4125,2.692
1982,8.2106,2.5574
1983,7.6722,2.5574
1984,8.2106,2.5574
1985,7.7395,2.4901
1986,9.0855,2.692
1987,8.9509,2.7593
1988,5.384,2.019
1989,7.403,2.4901
1990,8.6144,2.5574
1991,7.5376,2.5574
1992,8.8163,2.8266
1993,7.7395,2.3555
1994,9.7585,2.9612
1995,9.0855,2.8939
1996,8.6817,3.0285
1997,9.422,3.2977
1998,9.6239,3.1631
1999,10.1623,3.2304
2000,10.4315,3.2977
2001,9.4893,2.8266
2002,9.8258,3.0285
2003,10.6334,3.0958
2004,10.9026,2.8266
2005,11.0372,2.9612
2006,11.6429,3.0285
2007,12.114,3.365
2008,11.5083,3.1631
2009,12.4505,3.4996
2010,12.0467,3.4323
2011,11.9121,3.4996
2012,9.4893,2.8939
2013,10.9699,3.0958
2014,12.4505,3.365
2015,12.3159,3.4996
2016,13.2581,3.8361
2017,12.6524,3.7688
2018,13.5946,3.9707
2019,12.8543,3.7015
2020,13.5946,3.9034
